ENCFF486ADH_PTBP1	ENCFF983TGB_PTBP1	ENCFF138XJC_FUS	ENCFF169XEG_FUS	ENCFF020XNK_U2AF2	ENCFF298TSM_U2AF2	ENCFF703PUD_PCBP1	ENCFF793CAH_PCBP1	ENCFF714YYN_SRSF1	ENCFF801DDP_SRSF1	ENCFF078KLK_HNRNPC	ENCFF682EBX_HNRNPC	ENCFF196EOX_HNRNPA1	ENCFF786LGW_HNRNPA1	ENCFF758ALR_HNRNPL	ENCFF888EAZ_HNRNPL
chr12_-_56286595_56286645_56298609_56298691_56300160_56300316	0.01	0.03	0.04	0.02	0.01	0	0.02	0.01	0.04	0.04	0.03	0.04	0.02	0.02	0.03	0.01
chr12_-_56317601_56317643_56318237_56318434_56319088_56319181	0.9	0.86	0.96	0.93	0.32	0.53	0.84	0.92	0.74	0.62	0.82	0.7	0.88	0.76	0.97	0.96
chr12_-_56664776_56664800_56666204_56666266_56670275_56670364	0.96	0.98	0.98	0.95	0.97	1	0.97	0.98	0.98	0.98	0.94	0.95	0.97	0.95	0.98	0.99
chr12_-_56666204_56666266_56670275_56670364_56671749_56671847	0.96	0.95	0.95	0.96	0.94	0.95	0.97	0.97	0.97	0.97	0.89	0.9	0.95	0.95	0.95	0.95
chr12_-_57107256_57107314_57107605_57107743_57108163_57108283	0.75	0.84	0.71	0.81	0.13	0.28	0.84	0.81	0.79	0.83	0.77	0.74	0.79	0.75	0.81	0.85
chr12_-_57108163_57108299_57109941_57110110_57111129_57111192	0.1	0.08	0.09	0.12	0.08	0.1	0.11	0.22	0.04	0.04	0.07	0.02	0	0.04	0.11	0.02
chr12_-_57289009_57289040_57292572_57292667_57295399_57295507	0.88	0.55	0.81	0.67	0.85	0.89	0.71	0.69	0.61	0.59	0.85	0.8	0.95	0.73	0.83	0.91
chr12_-_57826379_57826402_57826996_57827097_57827552_57827590	0.95	0.98	0.94	0.98	1	1	0.99	0.98	0.94	0.93	0.93	0.98	0.99	0.98	0.96	0.98
chr12_-_79821112_79821166_79822116_79822190_79828320_79828464	1	0.94	0.96	1	0.97	0.99	1	0.93	0.96	0.97	1	1	1	0.9	1	0.94
chr12_-_94971516_94971620_94994170_94994257_95002739_95002821	0.94	0.91	0.93	0.93	0.82	0.79	0.94	0.97	0.84	0.86	0.99	1	0.94	0.94	0.92	0.94
chr12_-_96002990_96003064_96003838_96003920_96006314_96006409	0.9	0.9	0.78	0.74	0.39	0.26	0.88	0.88	0.88	0.93	0.62	0.6	0.88	0.75	0.73	0.7
chr12_-_102046054_102046119_102061248_102061346_102061912_102061974	0.95	0.97	0.97	0.98	0.9	0.85	0.98	0.93	0.99	1	0.99	0.96	0.97	0.98	1	0.98
chr12_-_102840513_102840515_102843646_102843779_102844336_102844431	0.95	0.89	0.94	0.97	0.85	0.77	0.96	0.97	0.86	0.87	0.69	0.73	0.93	0.9	0.95	0.99
chr12_-_102844336_102844431_102846895_102846951_102851687_102851756	0.89	0.91	0.92	0.95	0.88	0.85	0.88	0.85	0.93	0.93	0.91	0.89	0.92	0.87	0.93	0.96
chr12_-_103951584_103951630_103953414_103953534_103956631_103956738	0.29	0.25	0.5	0.56	0.22	0.4	0.4	0.43	0.27	0.33	0.47	0.36	0.47	0.59	0.19	0.06
chr12_-_104128424_104128517_104131754_104131838_104135448_104135532	0.04	0.06	0.08	0.06	0.07	0.1	0.04	0.05	0.03	0.03	0.07	0.08	0.07	0.06	0.08	0.08
chr12_-_109088222_109088512_109090009_109090207_109092507_109092752	0.81	0.84	0.7	0.54	0.65	0.4	0.76	0.71	0.71	0.74	0.71	0.93	0.57	0.71	0.68	0.8
chr12_-_109561040_109561104_109561243_109561329_109561420_109561517	0.29	0.18	0.04	0	0.25	0	0.34	0.39	0.03	0.04	0.07	0.03	0.06	0.06	0.21	0.21
chr12_-_110491886_110492122_110492996_110493231_110496012_110496203	0.96	0.98	0.97	0.99	0.94	0.97	0.96	0.94	0.93	0.97	0.98	0.98	0.96	0.96	0.97	0.94
chr12_-_110496012_110496203_110499457_110499546_110502049_110502108	0.04	0.12	0.05	0.01	0	0	0.04	0	0.03	0.06	0	0.01	0	0.02	0.03	0.01
chr12_-_110496012_110496203_110499535_110499546_110502049_110502108	0.73	0.67	0.42	0.33	0.66	0.35	0.2	0.1	0.28	0.35	0.49	0.27	0.35	0.38	0.35	0.36
chr12_-_111452754_111452840_111453677_111453845_111456029_111456112	0.71	0.49	0.62	0.74	0.86	0.87	0.66	0.71	0.69	0.53	0.6	0.62	0.85	0.75	0.71	0.6
chr12_-_111457274_111457359_111464662_111464715_111470108_111470240	0.27	0.28	0.41	0.54	0.12	0.12	0.34	0.32	0.51	0.49	0.42	0.38	0.21	0.26	0.28	0.28
chr12_-_111513474_111513539_111516154_111516363_111518249_111518427	0.96	0.97	0.67	0.81	0.64	0.47	0.81	0.69	0.93	0.97	0.75	0.79	0.88	0.91	0.62	0.69
chr12_-_112048292_112048443_112049483_112049611_112053558_112053657	0.21	0	0.06	0.06	0.16	0	0.03	0.12	0.17	0.18	0.29	0.36	0.15	0.12	0	0.04
chr12_-_114679505_114679651_114679913_114679972_114680879_114681146	0.38	0.49	0.68	0.66	0.23	0.38	0.34	0.27	0.68	0.72	0.26	0.3	0.34	0.4	0.48	0.61
chr12_-_120197372_120197462_120198554_120198739_120198854_120199000	0.99	0.98	0.99	0.99	0.98	1	0.99	0.99	0.99	0.99	0.98	0.99	0.98	0.98	0.97	0.98
chr12_-_122216759_122216869_122218266_122218397_122224512_122224644	0.96	0.94	0.93	0.99	0.95	0.96	0.94	1	0.93	0.96	0.88	0.92	0.98	0.91	0.96	0.95
chr12_-_122511111_122511188_122513767_122513874_122515105_122515227	0	0	0.05	0.09	0	0.01	0.01	0.03	0.02	0.02	0.06	0.05	0.06	0.05	0.06	0.06
chr12_-_122518930_122519029_122520504_122520581_122521385_122521428	0.08	0.1	0.23	0.2	0.04	0.02	0.12	0.09	0.08	0.1	0.32	0.24	0.3	0.26	0.1	0.13
chr12_-_123202885_123203084_123203250_123203375_123210056_123210162	0.36	0.24	0.69	0.58	0.5	0.85	0.52	0.52	0.32	0.14	0.17	0.35	0.4	0.56	0.82	0.53
chr13_+_19959958_19960026_19970025_19970071_19993063_19993564	0.23	0.24	0.36	0.39	0	0.3	0.21	0.33	0.21	0.2	0	0.12	0.18	0.14	0.21	0.12
chr13_+_25307822_25307948_25309247_25309282_25312883_25312942	0.95	0.81	1	0.99	0.84	0.82	0.97	0.94	0.97	1	0.88	0.93	1	0.96	1	0.91
chr13_+_25331433_25331558_25336936_25337034_25338636_25338731	1	0.95	0.85	0.86	0.41	0.72	0.95	0.95	0.95	0.93	1	0.98	0.93	0.94	0.98	0.9
chr13_+_27253765_27253843_27254220_27254281_27255242_27255354	1	1	1	1	0.96	0.96	0.99	0.99	1	1	0.99	1	1	1	1	1
chr13_+_39039564_39039711_39042105_39042305_39044090_39044181	0.8	0.95	0.79	0.86	0.52	0.37	0.82	0.85	0.48	0.49	0.33	0.51	0.5	0.69	0.51	0.73
chr13_+_42308454_42308609_42313047_42313130_42313894_42313940	0.23	0.05	0.3	0.26	0.04	0.04	0.37	0.25	0.28	0.21	0.29	0.26	0.4	0.39	0.35	0.35
chr13_+_51660596_51660663_51675170_51675243_51703596_51703650	0.82	0.88	0.89	0.87	0.93	1	1	0.91	0.98	0.95	0.79	0.86	0.92	0.87	0.7	0.84
chr13_+_52659179_52659249_52661475_52661570_52662649_52662702	0.11	0.17	0.38	0.35	0.13	0.09	0.17	0.21	0.09	0.12	0.93	0.93	0.16	0.18	0.16	0.29
chr13_+_75804289_75804541_75809154_75809183_75817161_75817278	0.94	0.95	0.96	0.93	0.33	0.38	0.72	0.74	0.97	0.99	0.92	0.96	0.61	0.47	0.75	0.82
chr13_+_97357482_97357635_97366459_97366553_97391322_97391599	0.35	0.48	0.88	0.91	0.91	0.72	0.67	0.6	0.5	0.59	0.68	0.63	0.67	0.74	0.82	0.72
chr13_+_98435576_98435706_98437766_98437858_98438804_98438872	0.02	0.04	0.05	0.06	0.01	0	0.05	0.02	0	0.01	0.01	0.01	0.04	0.05	0.07	0.07
chr13_+_100449252_100449305_100515427_100515567_100527675_100527752	0.97	0.84	0.86	0.88	0.83	0.68	0.83	0.97	0.78	0.88	0.86	1	0.94	0.67	0.73	0.87
chr13_+_102636224_102636392_102636695_102636763_102637082_102637239	0.05	0	0	0.07	0.05	0.08	0	0	0.02	0.02	0.08	0.17	0.19	0.17	0.17	0
chr13_+_102649408_102649486_102651359_102651397_102657056_102657125	0.15	0.12	0.26	0.22	0.13	0.16	0.2	0.07	0.16	0.13	0.26	0.16	0.2	0.22	0.13	0.02
chr13_+_102822065_102822159_102831565_102831697_102834466_102834552	1	0.96	0.92	0.94	0.57	0.32	0.82	1	0.95	0.95	0.91	0.94	0.94	1	0.83	0.86
chr13_+_113139357_113139470_113140919_113141050_113143851_113144095	0.96	0.99	0.97	0.94	0.93	0.79	0.98	0.98	0.96	0.97	0.96	0.94	1	0.99	0.97	0.99
chr13_+_113309643_113309862_113310709_113310867_113319469_113319656	0.97	0.98	0.99	1	0.96	0.98	0.97	0.98	1	0.98	0.99	0.99	0.99	0.99	0.99	0.97
chr13_+_113501752_113501880_113503496_113503588_113510238_113510424	0.97	0.94	0.97	0.98	0.87	0.88	0.98	1	1	1	0.99	0.96	0.97	1	0.9	0.93
chr13_+_113539357_113539507_113547300_113547379_113548303_113548452	0.88	0.87	0.83	0.81	0.74	0.95	0.9	0.77	0.85	0.92	0.89	0.85	1	0.96	0.93	0.54
chr13_+_113623180_113623286_113631623_113631744_113633120_113633285	0.82	0.77	0.82	0.87	0.86	0.88	0.79	0.9	0.89	0.9	0.92	0.94	0.77	0.81	0.82	0.88
chr13_+_114235081_114235132_114236645_114236699_114236799_114236896	0.66	0.74	0.85	0.68	0.52	0.54	0.75	0.8	0.6	0.57	0.81	0.91	0.9	0.96	0.87	0.47
chr13_+_114259335_114259398_114261887_114261948_114262879_114262979	0.92	0.89	1	1	0.87	0.81	0.97	0.97	1	1	0.94	1	0.98	1	0.96	0.96
chr13_+_114282837_114282943_114286302_114286400_114286519_114286629	0.7	0.57	0.6	0.65	0.09	0.12	0.72	0.51	0.59	0.68	0.3	0.37	0.63	0.58	0.76	0.65
chr13_+_114286519_114286629_114291489_114291544_114291634_114291718	0.98	0.97	0.98	0.98	0.88	0.82	0.93	0.87	0.97	0.94	0.95	0.96	1	1	0.97	0.98
chr13_+_114291634_114291792_114298840_114299000_114301731_114301756	0.92	0.92	0.91	0.89	0.91	0.96	0.96	0.96	0.75	0.79	0.89	0.9	0.85	0.96	0.97	0.89
chr13_-_20432102_20432296_20439593_20439754_20489370_20489496	0.69	0.64	0.76	0.79	0.59	0.86	0.82	0.81	0.85	0.86	0.81	0.83	0.74	0.78	0.77	0.78
chr13_-_31141122_31141259_31143792_31143923_31145563_31145768	0.93	0.98	0.99	0.95	0.92	0.89	0.84	0.96	0.99	0.99	0.98	0.97	0.94	0.97	0.99	0.95
chr13_-_32527458_32527532_32535769_32537027_32538618_32538683	0.94	0.97	0.96	0.98	0.84	0.86	0.96	0.91	0.85	0.97	0.88	0.86	0.96	0.97	1	0.98
chr13_-_37009617_37009809_37010552_37010655_37012192_37012297	0.81	0.79	0.35	0.38	0.04	0.02	0.16	0.18	0.49	0.59	0.04	0.14	0.3	0.35	0.3	0.25
chr13_-_37024340_37024442_37025320_37025437_37026204_37026236	0.98	0.99	0.96	0.93	0.73	0.66	0.84	0.92	1	0.96	0.99	0.9	0.99	0.96	0.98	1
chr13_-_37047878_37047936_37048564_37048599_37051488_37051559	0.68	0.73	0.78	0.67	0.29	0.29	0.71	0.56	0.49	0.33	0.53	0.71	0.86	0.68	0.59	0.6
chr13_-_45405883_45405977_45408927_45409074_45411362_45411480	0.86	0.81	0.89	0.87	0.83	0.9	0.91	0.88	0.81	0.81	0.87	0.94	0.78	0.77	1	0.96
chr13_-_46058179_46058381_46064648_46064741_46073873_46073977	0.93	0.93	0.95	0.84	0.8	0.91	1	0.91	0.85	0.88	0.86	0.86	0.86	0.82	0.86	0.84
chr13_-_46064648_46064741_46067307_46067417_46073873_46073977	0.77	0.76	0.81	0.79	0.85	0.86	0.82	0.82	0.75	0.73	0.85	0.79	0.8	0.8	0.82	0.83
chr13_-_46078800_46078901_46082441_46082549_46084219_46084343	0.99	1	0.98	0.98	0.98	0.94	0.99	0.99	0.99	1	0.96	0.95	0.98	0.97	0.99	1
chr13_-_49660834_49661208_49663057_49663195_49669777_49669846	0.93	0.95	0.92	0.99	0.99	0.97	0.94	0.92	0.98	0.97	0.89	0.96	0.97	0.96	1	0.92
chr13_-_49663057_49663195_49669777_49669846_49691254_49691438	0.79	0.87	0.81	0.85	0.78	0.87	0.82	0.95	0.83	0.95	0.87	0.88	0.76	0.82	0.83	0.94
chr13_-_51957516_51957607_51958311_51958544_51960148_51960322	0.94	0.92	0.95	0.93	0.64	0.55	0.9	0.89	0.79	0.87	0.63	0.58	0.93	0.93	1	0.96
chr13_-_52133689_52133815_52135729_52135863_52136116_52136232	0.97	0.97	0.94	0.86	0.86	0.86	0.99	0.81	0.96	0.95	1	1	0.9	0.94	1	0.99
chr13_-_52136800_52136902_52141020_52141069_52143915_52143980	0.82	0.92	0.87	0.85	0.89	0.91	0.95	0.83	0.79	0.86	0.92	0.91	0.91	0.89	0.92	0.81
chr13_-_52153969_52153992_52154080_52154173_52156075_52156191	0.95	0.95	1	1	0.34	0.24	0.95	0.84	1	0.95	0.92	0.88	0.82	1	1	0.98
chr13_-_106557106_106557131_106557559_106557616_106559432_106559657	0	0.01	0.11	0.1	0.03	0.03	0.02	0.05	0	0	0.03	0.03	0.03	0	0.05	0.12
chr13_-_110893028_110893263_110894109_110894202_110906033_110906124	0.08	0.09	0.06	0.18	0.04	0.12	0.04	0.05	0.2	0.25	0.26	0.15	0.16	0.05	0.3	0.35
chr14_+_19062406_19062466_19065968_19066115_19066236_19066347	0.79	0.77	0.32	0.33	0.06	0.18	0.41	0.36	0.56	0.83	0.15	0.4	0.33	0.44	0.59	0.69
chr14_+_23639794_23639895_23641666_23641738_23643152_23643219	0	0	0.01	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0
chr14_+_23639794_23639895_23641666_23641779_23643152_23643219	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0.01	0
chr14_+_24098512_24098678_24099049_24099236_24099558_24099720	0.98	0.96	1	1	0.97	0.93	0.94	0.96	0.98	0.99	0.98	0.94	0.98	0.98	0.96	0.95
chr14_+_24099558_24099720_24099995_24100213_24102753_24102830	0.96	1	0.93	0.98	0.94	1	0.96	0.93	0.96	0.94	0.91	0.99	0.98	0.96	0.96	0.92
chr14_+_24102753_24102890_24103160_24103255_24103510_24103722	0.87	0.9	0.94	0.91	0.9	0.81	0.76	0.75	1	0.98	0.84	0.83	0.98	0.96	0.96	0.95
chr14_+_24115543_24115749_24116917_24117044_24117266_24117306	0.97	0.98	0.99	0.93	0.96	0.85	0.95	0.92	0.82	0.85	0.92	0.99	0.98	0.99	0.99	0.98
chr14_+_24117334_24117393_24117668_24117732_24118055_24118098	0.98	0.95	0.99	0.98	0.88	0.9	0.97	0.97	0.98	0.98	0.96	0.98	0.98	1	0.99	1
chr14_+_24158142_24158199_24159864_24159960_24160239_24160407	1	0.99	0.93	0.92	0.6	0.64	0.93	0.97	0.94	0.91	0.95	0.87	0.94	0.94	0.99	0.97
chr14_+_24237520_24237562_24238246_24238405_24238589_24238748	0.97	0.96	0.98	0.97	0.99	0.99	0.97	0.97	0.99	0.99	0.92	0.89	0.98	0.95	0.97	0.94
chr14_+_30559222_30559272_30581076_30581116_30586718_30586815	0.9	0.91	0.99	1	0.98	1	0.95	0.98	0.98	0.94	0.85	0.86	1	0.92	0.91	0.85
chr14_+_30601999_30602131_30605505_30605812_30607888_30607919	0.84	0.85	0.88	0.84	0.38	0.38	0.87	0.86	0.96	0.89	0.9	0.88	0.91	0.81	0.83	0.84
chr14_+_30622339_30622399_30628209_30628279_30630477_30630565	0.81	0.83	0.85	0.83	0.98	0.95	0.82	0.8	0.86	0.86	0.88	0.9	0.89	0.86	0.81	0.73
chr14_+_30700191_30700258_30702296_30702375_30705823_30705885	0.98	0.99	0.93	0.91	0.9	0.83	0.98	0.98	0.98	0.99	0.89	0.97	0.98	0.96	0.92	0.95
chr14_+_30884553_30884656_30884985_30885041_30885394_30885532	0.01	0.01	0.02	0.03	0	0	0.06	0.01	0.06	0.06	0	0.02	0.01	0.03	0.01	0.05
chr14_+_32077309_32077435_32090502_32094386_32117143_32117287	0.89	0.93	0.83	0.85	0.86	0.8	0.67	0.74	0.84	0.88	0.86	0.77	0.64	0.8	0.83	1
chr14_+_34999558_34999649_35000936_35001020_35007283_35007387	0.97	0.99	0.99	0.97	1	1	0.96	0.95	1	0.99	0.95	0.9	0.99	0.98	0.98	1
chr14_+_35018966_35019074_35022910_35023080_35028088_35028183	0.98	0.99	0.98	0.99	0.98	0.99	1	0.98	0.99	0.99	0.94	0.93	0.99	0.98	0.99	0.97
chr14_+_35122952_35124231_35126735_35126782_35127479_35127611	0.88	0.84	0.9	0.92	0.57	0.48	0.89	0.89	0.85	0.75	0.88	0.96	0.93	0.8	1	0.81
chr14_+_35292317_35292552_35307994_35308088_35308914_35308995	0.96	0.96	0.98	0.98	0.97	0.94	0.96	0.96	0.97	0.97	0.95	0.95	0.97	0.98	0.98	0.98
chr14_+_39122430_39122543_39124992_39125036_39128280_39128341	0.87	0.93	0.9	0.98	0.92	1	0.83	0.76	0.95	0.87	0.85	0.91	0.86	0.89	0.84	0.88
chr14_+_39131958_39132068_39133661_39133719_39136440_39136496	0.86	0.89	0.81	0.86	0.45	0.52	0.89	0.96	0.92	0.93	1	0.97	0.94	0.84	0.9	0.89
chr14_+_39319209_39319291_39320928_39321056_39326864_39327022	0.86	0.88	0.71	0.66	0.15	0.08	0.56	0.62	0.95	0.97	0.58	0.62	0.64	0.73	0.42	0.46
chr14_+_45109616_45109780_45109894_45109993_45110094_45110176	0.36	0.33	0.42	0.59	0.11	0.13	0.2	0.32	0.27	0.49	0.47	0.33	0.13	0.36	0.55	0.58
chr14_+_54702062_54702580_54737024_54737287_54748815_54748924	0.48	0.47	0.46	0.51	0.49	0.67	0.48	0.39	0.35	0.15	0.28	0.3	0.32	0.46	0.74	0.62
chr14_+_55661522_55661612_55663955_55664041_55667241_55667330	0.35	0.28	0.21	0.31	0.35	0.32	0.24	0.26	0.22	0.23	0.19	0.19	0.27	0.24	0.33	0.28
chr14_+_55661522_55661612_55667241_55667330_55670729_55670809	0.98	0.96	0.94	0.94	0.88	0.96	0.98	0.96	1	0.98	0.99	0.98	0.9	0.94	0.88	0.89
chr14_+_55672930_55673012_55673172_55673255_55675835_55675918	0.08	0.1	0.32	0.24	0.28	0.26	0.43	0.44	0.47	0.47	0.25	0.18	0.38	0.32	0.32	0.35
chr14_+_61744705_61744813_61745691_61745817_61746934_61748258	0.92	0.93	0.95	0.91	0.88	0.89	0.93	0.96	0.79	0.83	0.9	0.88	0.9	0.97	0.99	0.95
chr14_+_73573388_73573590_73574286_73574407_73574908_73575201	0	0.02	0.04	0.03	0.01	0	0.03	0.02	0.01	0.01	0.11	0.14	0.02	0.01	0.02	0
chr14_+_74781385_74782325_74797580_74799697_74802556_74802676	0.77	0.76	0.81	1	0.81	0.86	0.82	0.91	0.38	0.63	0.81	0.69	0.9	0.81	0.88	0.64
chr14_+_88577985_88578140_88596734_88596808_88601924_88602083	0.65	0.82	0.85	0.92	0.81	0.87	0.88	0.88	0.98	0.95	0.86	0.84	0.93	0.87	0.82	0.85
chr14_+_94614434_94615084_94619195_94619468_94622341_94622491	0.99	1	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.99	0.99	0.99	0.98	0.99	0.99	0.99
chr14_+_96556175_96556413_96560649_96560711_96562819_96562893	0.97	0.99	0.98	0.98	0.86	0.89	1	1	0.93	0.99	0.96	0.97	0.91	0.97	0.93	0.93
chr14_+_96556175_96556413_96562819_96562893_96564955_96564988	0.3	0.12	0.38	0.29	0.51	0.6	0.02	0	0.4	0.11	0.12	0.09	0.37	0.17	0.36	0.32
chr14_+_101912401_101912473_101917831_101917947_101925141_101925307	0.37	0.16	0.57	0.41	0.27	0.39	0.4	0.33	0	0.26	0.37	0.41	0.48	0.45	0.33	0.44
chr14_+_103491777_103492034_103500156_103500200_103502882_103503831	0.13	0.17	0.06	0.02	0.06	0.08	0.04	0.05	0.09	0.02	0.15	0.07	0.09	0.04	0.04	0.09
chr14_+_103571623_103571820_103574107_103574170_103587274_103587364	0.93	0.81	0.83	0.83	0.76	0.75	0.88	0.79	0.74	0.92	0.75	0.97	0.85	0.82	0.74	0.83
chr14_+_105445418_105445511_105449359_105449409_105450058_105450184	0.37	0.32	0.36	0.28	0.15	0.15	0.34	0.3	0.38	0.33	0.33	0.28	0.5	0.5	0.3	0.17
chr14_-_20449222_20449266_20451257_20451452_20451974_20452149	0.06	0.07	0.12	0.12	0.1	0.04	0.17	0.1	0.03	0.03	0.1	0.03	0.11	0.08	0.1	0.1
chr14_-_21018457_21018504_21018627_21018663_21018763_21018814	0.06	0.03	0.04	0.01	0	0	0.01	0.03	0.06	0.16	0.04	0.02	0	0.02	0	0.04
chr14_-_21022392_21022497_21022864_21022905_21023241_21023321	0.39	0.44	0.3	0.31	0.52	0.48	0.21	0.26	0.52	0.49	0.12	0.11	0.29	0.38	0.31	0.36
chr14_-_21234219_21234229_21263311_21263336_21269298_21269389	0.6	0.62	0.58	0.59	0.21	0.23	0.61	0.58	0.54	0.56	0.95	0.92	0.72	0.74	0.61	0.62
chr14_-_21234219_21234229_21263311_21263829_21269298_21269389	0.23	0.25	0.27	0.27	0.24	0.24	0.29	0.32	0.18	0.16	0.45	0.24	0.51	0.53	0.29	0.28
chr14_-_21263311_21263336_21263667_21263829_21269298_21269389	0.01	0.01	0.01	0	0.01	0	0.02	0.02	0.01	0	0	0	0.01	0.01	0	0.01
chr14_-_21390947_21391063_21391463_21391642_21391833_21391946	0.97	0.98	0.98	0.98	0.6	0.62	0.97	0.9	0.98	0.99	0.94	0.92	0.91	0.97	0.99	1
chr14_-_22950314_22950410_22951555_22951689_22952328_22952459	0.89	0.85	0.86	0.86	0.73	0.87	0.95	0.88	0.62	0.53	0.98	0.98	0.86	0.89	0.85	0.75
chr14_-_23065966_23066008_23067304_23068671_23069476_23069525	0.04	0.05	0.05	0.13	0.06	0.07	0.07	0.02	0.02	0.05	0.14	0.08	0.18	0.14	0.06	0.08
chr14_-_23065966_23066008_23067314_23068671_23069476_23069525	0.13	0.11	0.32	0.27	0.11	0.13	0.09	0.08	0.02	0.05	0.23	0.27	0.29	0.2	0.06	0.08
chr14_-_23065966_23066008_23067342_23068671_23069476_23069525	0.01	0.02	0.07	0.02	0.02	0.02	0.02	0.01	0.01	0.03	0.02	0.06	0.02	0.06	0.02	0
chr14_-_23069476_23069617_23071125_23071186_23071427_23071538	0.16	0.15	0.27	0.32	0.05	0.13	0.26	0.23	0.16	0.15	0.17	0.13	0.28	0.17	0.15	0.2
chr14_-_23081748_23081836_23089982_23090101_23090522_23090633	0.18	0.25	0.25	0.27	0.48	0.53	0.08	0.1	0.13	0.12	0.24	0.19	0.27	0.29	0.21	0.29
chr14_-_23565606_23565701_23565816_23565892_23566064_23566160	0.82	0.82	0.87	0.8	0.87	0.92	0.81	0.81	0.62	0.68	0.76	0.71	0.62	0.67	0.77	0.85
chr14_-_23566339_23566419_23566562_23566686_23567111_23567315	0.9	0.9	0.87	0.9	0.56	0.34	0.29	0.28	0.92	0.9	0.71	0.73	0.92	0.86	0.92	0.9
chr14_-_24145710_24145772_24146208_24146240_24146534_24146578	0.99	0.99	0.97	0.98	0.96	0.97	0.98	0.99	1	1	0.98	0.98	1	0.99	1	0.98
chr14_-_24269080_24269163_24269270_24269401_24269491_24269551	0.01	0.03	0.05	0.03	0	0	0.06	0.02	0.12	0.13	0.01	0.02	0.01	0	0.15	0.11
chr14_-_24305606_24305765_24305947_24306137_24306374_24306461	0.9	0.94	0.92	0.89	0.98	1	0.87	0.92	0.87	0.89	0.84	0.77	0.92	0.95	0.95	0.95
chr14_-_24440854_24440926_24441674_24441795_24442178_24442260	0.84	0.97	0.92	0.95	0.91	1	0.89	0.94	0.84	0.8	0.92	0.94	0.99	0.95	0.88	0.77
chr14_-_24441678_24441795_24442098_24442260_24442346_24442375	0.3	0.29	0.48	0.55	0.06	0.06	0.41	0.73	0.06	0.11	0.14	0.47	0.23	0.4	0.27	0.37
chr14_-_24441678_24441795_24442178_24442260_24442346_24442375	0.79	0.77	0.57	0.55	0.06	0.06	0.91	0.96	0.51	0.41	0.67	0.53	0.23	0.4	0.41	0.56
chr14_-_34524697_34524807_34529358_34529475_34533444_34533539	0.95	0.92	0.98	0.99	0.74	0.72	0.97	0.97	0.96	0.98	0.83	0.88	0.93	0.88	0.95	0.93
chr14_-_34605682_34605717_34608030_34608140_34609638_34609742	0.9	0.91	0.9	0.91	0.91	0.94	0.95	0.91	0.86	0.86	0.95	0.92	0.92	0.89	0.91	0.91
chr14_-_35091070_35091207_35095048_35095184_35096558_35096633	0.96	0.94	0.97	1	0.94	0.76	0.97	0.95	0.92	0.89	0.84	0.95	0.98	0.97	0.98	0.96
chr14_-_35110525_35110629_35116610_35116737_35121902_35121949	0.58	0.5	0.68	0.67	0.63	0.62	0.47	0.58	0.56	0.57	0.45	0.66	0.65	0.67	0.59	0.59
chr14_-_35539635_35539690_35548508_35548538_35549110_35549234	0.94	0.96	0.96	0.95	0.47	0.46	0.9	0.89	0.99	0.99	0.95	0.95	0.84	0.89	0.94	0.95
chr14_-_35686542_35686666_35688459_35688540_35689836_35690003	0.7	0.62	0.59	0.54	0.12	0.03	0.63	0.42	0.47	0.54	0.16	0.34	0.39	0.55	0.14	0.22
chr14_-_36300785_36300823_36308092_36308189_36311573_36311590	0.9	0.96	0.92	0.89	0.73	0.69	0.92	0.92	0.94	0.96	0.93	0.93	0.93	0.91	0.84	0.86
chr14_-_39040732_39040887_39042786_39042872_39045163_39045324	1	1	1	1	0.99	0.97	1	1	1	1	0.99	0.99	1	1	1	0.99
chr14_-_39151811_39151839_39154211_39154294_39158285_39158402	0.86	0.81	0.78	0.8	0.49	0.58	0.77	0.79	0.69	0.66	0.88	0.76	0.82	0.83	0.8	0.81
chr14_-_50437894_50438008_50438092_50438094_50440013_50440073	0.87	0.84	0.89	0.97	0.73	0.72	0.77	0.78	0.43	0.59	0.88	0.78	0.82	0.84	0.62	0.83
chr14_-_52658124_52658150_52661293_52661304_52663801_52663847	0.98	0.98	0.99	0.99	0.98	0.97	0.97	0.98	0.99	0.99	0.95	0.98	0.98	1	0.98	0.97
chr14_-_52784497_52784664_52787833_52787871_52791428_52791483	0.06	0.07	0.07	0.13	0.07	0.04	0.11	0.08	0.15	0.08	0.06	0.05	0.12	0.17	0.15	0.04
chr14_-_52860341_52860465_52861014_52861034_52864401_52864521	0.24	0.38	0.16	0.15	0.05	0.03	0.03	0.02	0.07	0.07	0.12	0.02	0.07	0.02	0.03	0.07
chr14_-_54430261_54430404_54432108_54432220_54436369_54436437	0.99	1	0.95	0.94	0.73	0.52	0.97	0.97	0.99	0.98	0.99	0.99	1	0.96	0.98	0.97
chr14_-_55148135_55148473_55148594_55148684_55150799_55150848	0.25	0.13	0.29	0.28	0	0	0.04	0.07	0.28	0.15	0.13	0.1	0.11	0.05	0.21	0.19
chr14_-_58410845_58410938_58411907_58411971_58424008_58424095	0.99	0.99	0.96	0.97	1	0.96	0.96	0.93	0.91	0.95	0.95	0.93	1	1	0.96	0.97
